% Optimal tour length 43740
     0   512
     6   504
     6   520
    16   488
    16   504
    16   520
    22   480
    22   496
    22   512
    32   480
    32   496
    32   512
    32   528
    32   560
    38   488
    38   504
    38   520
    38   536
    38   552
    38   568
    48   504
    48   536
    48   552
    48   568
    54   496
    54   544
    54   560
    64   416
    64   480
    64   496
    64   544
    64   560
    70   408
    70   424
    70   472
    70   488
    70   504
    70   536
    70   552
    70   568
    80   392
    80   408
    80   424
    80   456
    80   472
    80   488
    80   504
    80   520
    80   536
    80   552
    80   568
    86   384
    86   400
    86   416
    86   448
    86   464
    86   496
    86   512
    86   528
    86   560
    96   384
    96   400
    96   416
    96   432
    96   448
    96   512
    96   528
   102   392
   102   408
   102   424
   102   440
   102   456
   102   520
   102   536
   112   408
   112   440
   112   456
   112   536
   118   400
   118   448
   118   528
   128   400
   128   448
   128   528
   128   576
   128   704
   134   408
   134   440
   134   456
   134   536
   134   568
   134   584
   134   696
   134   712
   144   392
   144   408
   144   424
   144   440
   144   456
   144   520
   144   536
   144   552
   144   568
   144   584
   144   680
   144   696
   144   712
   150   384
   150   400
   150   416
   150   432
   150   448
   150   512
   150   528
   150   544
   150   560
   150   576
   150   672
   150   688
   150   704
   160   384
   160   400
   160   416
   160   448
   160   464
   160   496
   160   512
   160   528
   160   544
   160   576
   160   592
   160   624
   160   672
   160   688
   160   704
   160   720
   160   752
   166   392
   166   408
   166   424
   166   456
   166   472
   166   488
   166   504
   166   520
   166   536
   166   552
   166   584
   166   600
   166   616
   166   632
   166   680
   166   696
   166   712
   166   728
   166   744
   166   760
   176   408
   176   424
   176   472
   176   488
   176   504
   176   536
   176   552
   176   600
   176   616
   176   632
   176   696
   176   728
   176   744
   176   760
   182   416
   182   480
   182   496
   182   544
   182   608
   182   624
   182   688
   182   736
   182   752
   192   480
   192   496
   192   624
   192   672
   192   688
   192   736
   192   752
   198   472
   198   488
   198   504
   198   632
   198   664
   198   680
   198   696
   198   728
   198   744
   198   760
   208   456
   208   472
   208   488
   208   504
   208   616
   208   632
   208   648
   208   664
   208   680
   208   696
   208   712
   208   728
   208   744
   208   760
   214   448
   214   464
   214   496
   214   608
   214   624
   214   640
   214   656
   214   688
   214   704
   214   720
   214   752
   224   448
   224   464
   224   608
   224   624
   224   640
   224   704
   224   720
   230   456
   230   472
   230   616
   230   632
   230   648
   230   712
   230   728
   240   472
   240   632
   240   648
   240   728
   246   464
   246   640
   246   720
   256   128
   256   384
   256   464
   256   640
   256   720
   262   120
   262   136
   262   376
   262   392
   262   472
   262   632
   262   648
   262   728
   272   104
   272   120
   272   136
   272   360
   272   376
   272   392
   272   456
   272   472
   272   616
   272   632
   272   648
   272   712
   272   728
   278    96
   278   112
   278   128
   278   352
   278   368
   278   384
   278   448
   278   464
   278   608
   278   624
   278   640
   278   704
   278   720
   288    96
   288   112
   288   128
   288   144
   288   176
   288   352
   288   368
   288   384
   288   400
   288   432
   288   448
   288   464
   288   496
   288   608
   288   624
   288   640
   288   656
   288   688
   288   704
   288   720
   288   752
   294   104
   294   120
   294   136
   294   152
   294   168
   294   184
   294   360
   294   376
   294   392
   294   408
   294   424
   294   440
   294   456
   294   472
   294   488
   294   504
   294   616
   294   632
   294   648
   294   664
   294   680
   294   696
   294   712
   294   728
   294   744
   294   760
   304   120
   304   152
   304   168
   304   184
   304   376
   304   408
   304   424
   304   440
   304   472
   304   488
   304   504
   304   632
   304   664
   304   680
   304   696
   304   728
   304   744
   304   760
   310   112
   310   160
   310   176
   310   368
   310   416
   310   432
   310   480
   310   496
   310   624
   310   672
   310   688
   310   736
   310   752
   320    32
   320    96
   320   112
   320   160
   320   176
   320   288
   320   352
   320   368
   320   432
   320   480
   320   496
   320   544
   320   608
   320   624
   320   688
   320   736
   320   752
   326    24
   326    40
   326    88
   326   104
   326   120
   326   152
   326   168
   326   184
   326   280
   326   296
   326   344
   326   360
   326   376
   326   440
   326   472
   326   488
   326   504
   326   536
   326   552
   326   600
   326   616
   326   632
   326   696
   326   728
   326   744
   326   760
   336     8
   336    24
   336    40
   336    72
   336    88
   336   104
   336   120
   336   136
   336   152
   336   168
   336   184
   336   264
   336   280
   336   296
   336   328
   336   344
   336   360
   336   376
   336   424
   336   440
   336   456
   336   472
   336   488
   336   504
   336   520
   336   536
   336   552
   336   584
   336   600
   336   616
   336   632
   336   680
   336   696
   336   712
   336   728
   336   744
   336   760
   342     0
   342    16
   342    32
   342    64
   342    80
   342   112
   342   128
   342   144
   342   176
   342   256
   342   272
   342   288
   342   320
   342   336
   342   368
   342   416
   342   432
   342   448
   342   464
   342   496
   342   512
   342   528
   342   544
   342   576
   342   592
   342   624
   342   672
   342   688
   342   704
   342   720
   342   752
   352     0
   352    16
   352    32
   352    48
   352    64
   352   128
   352   144
   352   256
   352   272
   352   288
   352   304
   352   320
   352   416
   352   432
   352   448
   352   512
   352   528
   352   544
   352   560
   352   576
   352   672
   352   688
   352   704
   358     8
   358    24
   358    40
   358    56
   358    72
   358   136
   358   152
   358   264
   358   280
   358   296
   358   312
   358   328
   358   424
   358   440
   358   456
   358   520
   358   536
   358   552
   358   568
   358   584
   358   680
   358   696
   358   712
   368    24
   368    56
   368    72
   368   152
   368   280
   368   312
   368   328
   368   440
   368   456
   368   536
   368   568
   368   584
   368   696
   368   712
   374    16
   374    64
   374   144
   374   272
   374   320
   374   448
   374   528
   374   576
   374   704
   384    16
   384    64
   384   144
   384   192
   384   272
